method,sample_a,sample_b,dice,iou,boundary_f1_tolerance_3px,absolute_area_difference_px
SAM 2 operativo,real_24,real_32,0.9869838079522956,0.9743021046457438,0.9019636623227274,121
SAM 2 operativo,real_24,real_34,0.9805081706736922,0.9617616762280711,0.7248709119681858,14918
SAM 2 operativo,real_24,real_36,0.9732807196807979,0.9479521212246151,0.4863254380971608,19503
SAM 2 operativo,real_24,real_38,0.9727393031420261,0.9469254553564549,0.5317215510267539,16676
SAM 2 operativo,real_26,real_28,0.9916774350200808,0.9834922568055691,0.9396685785036522,17836
SAM 2 operativo,real_26,real_30,0.9900509353490424,0.9802978882813342,0.9347452092384164,2246
SAM 2 operativo,real_26,real_32,0.9853723799280221,0.9711665249740783,0.8369298774225266,3124
SAM 2 operativo,real_26,real_34,0.9845260339118337,0.9695236577107427,0.829988512031516,17921
SAM 2 operativo,real_26,real_36,0.9727206845611395,0.9468901689562266,0.5091271212395653,22506
SAM 2 operativo,real_26,real_38,0.970351250936923,0.9424099741002828,0.503838734215838,19679
SAM 2 operativo,real_28,real_30,0.9862789824798145,0.9729294011211279,0.8885713431878842,20082
SAM 2 operativo,real_28,real_32,0.9875493355834691,0.9754048965463297,0.8969064793443301,14712
SAM 2 operativo,real_28,real_34,0.9823371659319996,0.9652874538074756,0.7268647022682636,85
SAM 2 operativo,real_28,real_36,0.973816375706691,0.9489689297832237,0.5289638329239693,4670
SAM 2 operativo,real_28,real_38,0.9734086211237155,0.9481948135870932,0.5512938013983592,1843
SAM 2 operativo,real_30,real_32,0.980985801744889,0.962681190727922,0.765697570704547,5370
SAM 2 operativo,real_30,real_34,0.984217518149924,0.9689254695132545,0.8376804963579132,20167
SAM 2 operativo,real_30,real_36,0.9671829564679955,0.9364513904228815,0.43556480168927786,24752
SAM 2 operativo,real_30,real_38,0.9651202874315411,0.9325917550709518,0.4474487518075411,21925
SAM 2 operativo,real_32,real_34,0.9733021139974218,0.9479927126244981,0.4990390039003294,14797
SAM 2 operativo,real_32,real_36,0.9719824753315673,0.9454921263575362,0.48200290887436126,19382
SAM 2 operativo,real_32,real_38,0.9717956843330694,0.9451386942513731,0.4946338454933614,16555
SAM 2 operativo,real_34,real_36,0.9689326748429743,0.9397375430313548,0.45620931852948343,4585
SAM 2 operativo,real_34,real_38,0.9649022397616961,0.9321846465396204,0.41288879133005024,1758
SAM 2 operativo,real_36,real_38,0.9876871823005012,0.9756738875884633,0.8539454979121993,2827
